composite_gtfs_stops_id,next_composite_gtfs_stops_id,route,direction,mean_seconds_in_transit
637_D21,636,6,N,90.0
637_D21,638,4,S,60.0
637_D21,638,6,S,60.0
637_D21,A32_D20,B,N,135.30612244897958
637_D21,A32_D20,D,N,133.13868613138686
637_D21,A32_D20,F,N,172.6530612244898
637_D21,A32_D20,M,N,173.4
637_D21,D22,B,S,120.0
637_D21,D22,D,S,120.0
637_D21,D43,F,S,3141.019108280255
637_D21,F05,F,S,83960.76923076923
637_D21,G08,M,S,83864.4
638,637_D21,4,N,60.0
638,637_D21,6,N,66.84782608695652
638,639_M20_Q01_R23,4,S,90.0
638,639_M20_Q01_R23,6,S,180.32608695652175
639_M20_Q01_R23,601,6,S,82888.78612716762
639_M20_Q01_R23,608,6,S,83415.15151515152
639_M20_Q01_R23,619,6,S,84382.5
639_M20_Q01_R23,638,4,N,90.0
639_M20_Q01_R23,638,6,N,90.0
639_M20_Q01_R23,640_M21,J,S,91.30434782608695
639_M20_Q01_R23,M19,J,N,122.17391304347827
639_M20_Q01_R23,Q03,N,N,1035.0
639_M20_Q01_R23,Q03,Q,N,1026.3057324840765
639_M20_Q01_R23,Q05,N,S,85130.0
639_M20_Q01_R23,Q05,Q,S,85117.02531645569
639_M20_Q01_R23,R22,N,N,95.21739130434783
639_M20_Q01_R23,R22,R,N,95.95419847328245
639_M20_Q01_R23,R24,N,S,150.0
639_M20_Q01_R23,R24,R,S,150.0
640_M21,229_418_A38_M22,4,S,115.94594594594595
640_M21,229_418_A38_M22,5,S,120.0
640_M21,229_418_A38_M22,J,S,68.91304347826087
640_M21,622,6,S,84603.69565217392
640_M21,635_L03_R20,4,N,279.7674418604651
640_M21,635_L03_R20,5,N,282.82608695652175
640_M21,639_M20_Q01_R23,4,N,120.0
640_M21,639_M20_Q01_R23,6,N,120.0
640_M21,639_M20_Q01_R23,J,N,120.0
701,702,7,S,156.72857142857143
702,701,7,N,210.0
702,705,7,S,92.70270270270271
702,707,7,S,326.42857142857144
705,702,7,N,170.80060422960725
705,706,7,S,71.34306569343066
706,705,7,N,68.92749244712991
706,707,7,S,68.36496350364963
707,702,7,N,229.84615384615384
707,706,7,N,69.87915407854985
707,708,7,S,87.5036496350365
707,710_G14,7,S,180.0
708,707,7,N,73.68580060422961
708,709,7,S,68.36496350364963
709,708,7,N,69.87915407854985
709,710_G14,7,S,71.38686131386861
710_G14,707,7,N,180.0
710_G14,709,7,N,68.42900302114803
710_G14,711,7,S,77.53782668500688
710_G14,F01,F,S,85211.79190751445
710_G14,G08,E,N,424.05882352941177
710_G14,G08,F,N,423.58490566037733
